"scenario_id","source_message_order","breakpoint_id","center_x_pct","center_y_pct","tolerance_pct","title","description","zoom_image"
"s2","3","B2-01","11","14","10","沒有官方標誌","真正的官方新聞會有清楚的官方識別（新聞台／學校／政府單位標誌）。\n這類假訊息常在左上角放灰色頭像、模糊圖示，或直接缺少正式標誌。\n💡 記住：先看來源身分，再看內容！","assets/images/scenarios/s2/zoom_B2-01.png"
"s2","3","B2-02","52","74","12","文字排版不規則","正式公告的字體大小、字距、行距通常一致。\n假圖常出現中央偏下區塊排版凌亂、字型混雜，甚至夾雜不自然字樣（如「X號」）。\n💡 記住：排版越亂，越要提高警覺！","assets/images/scenarios/s2/zoom_B2-02.png"
"s2","3","B2-03","88","95","8","時間戳記可疑","仔細看右下角發布日期與時間，是否和「明日停課」說法一致。\n假圖常出現不存在日期（如 2025/13/45）或時間邏輯不通。\n💡 記住：日期時間對不上，就是重要警訊！","assets/images/scenarios/s2/zoom_B2-03.png"
"s4","2","B4-01","75","20","8","企業 LOGO 不對勁","仔細看背景看板上的企業標誌，你發現什麼了嗎？\n字母好像不對、顏色微妙不對、形狀也有點怪。\nAI 很難精確複製真實的品牌標誌，詐騙者用這種方法假冒大企業。\n💡 記住：真正的企業捐贈會有清楚正確的品牌標誌！","assets/images/scenarios/s4/zoom_B4-01.png"
"s4","2","B4-02","40","60","7","手部細節異常","數一數圖片中學生的手指，或看看他們握平板的方式，是不是有點不自然？\nAI 生成圖片最常出錯的地方就是手指（常常多 1 根或少 1 根）、或者物品和身體的接觸方式。\n💡 記住：手部和細節是 AI 圖片的破綻！","assets/images/scenarios/s4/zoom_B4-02.png"
"s4","2","B4-03","20","50","10","背景融合痕跡","看看教室的桌子、椅子、地板的交界處，是不是有「融化」、「模糊」的感覺？\nAI 在處理多個物體的邊界時容易出錯，讓物品看起來像被「P」上去的。\n💡 記住：真實照片的物體邊界清晰銳利！","assets/images/scenarios/s4/zoom_B4-03.png"
"s5","2","B5-01","50","45","10","禮物盒太完美了","仔細看這個禮物盒，是不是覺得「太完美」、「太閃亮」？\n真實照片中的物品會有自然的瑕疵、合理的陰影、正確的反光方向。\nAI 生成的物品常常「太理想化」，反而顯得虛假！\n💡 記住：太完美的東西要懷疑！","assets/images/scenarios/s5/zoom_B5-01.png"
"s5","2","B5-02","50","30","8","iPhone 螢幕怪怪的","看看 iPhone 螢幕上的內容：App 圖示是不是變形了？文字是不是看不清楚？螢幕邊界是不是模糊？\nAI 很難精確繪製手機螢幕的細節，尤其是小圖示和文字。\n💡 記住：螢幕細節是 AI 圖的弱點！","assets/images/scenarios/s5/zoom_B5-02.png"
"s5","2","B5-03","50","80","12","物體像漂在空中","看看禮物盒和 iPhone 的底部，它們和背景的接觸點看起來如何？\n真實照片中，物體會有自然的陰影、與表面的接觸感、清晰的邊緣。\nAI 圖常常讓物品看起來「漂浮」，或邊緣模糊融化。\n💡 記住：注意物體與背景的關係！","assets/images/scenarios/s5/zoom_B5-03.png"
"s2","4","B2-01","10","29","10","來源頭像非官方","左上角是灰色轉傳頭像，缺少正式新聞台或學校識別，來源可信度不足。\n💡 記住：先看發訊來源是不是官方帳號。","assets/images/scenarios/s2/zoom_B2-01_m4.png"
"s2","4","B2-02","36","55","13","公告排版不正規","中間公告字體大小不一致、排版凌亂，且看不到學校正式徽章。\n💡 記住：正式公告通常有固定版型與單位識別。","assets/images/scenarios/s2/zoom_B2-02_m4.png"
"s2","4","B2-03","56","79","9","日期時間前後矛盾","右下角時間與「明日停課」說法對不起來，屬於時間邏輯錯誤。\n💡 記住：日期、時間、事件先後要能互相對上。","assets/images/scenarios/s2/zoom_B2-03_m4.png"
"s4","4","B4-01","75","20","8","企業 LOGO 不對勁","仔細看背景看板上的企業標誌，你發現什麼了嗎？\n字母好像不對、顏色微妙不對、形狀也有點怪。\nAI 很難精確複製真實的品牌標誌，詐騙者用這種方法假冒大企業。\n💡 記住：真正的企業捐贈會有清楚正確的品牌標誌！","assets/images/scenarios/s4/zoom_B4-01.png"
"s4","4","B4-02","40","60","7","手部細節異常","數一數圖片中學生的手指，或看看他們握平板的方式，是不是有點不自然？\nAI 生成圖片最常出錯的地方就是手指（常常多 1 根或少 1 根）、或者物品和身體的接觸方式。\n💡 記住：手部和細節是 AI 圖片的破綻！","assets/images/scenarios/s4/zoom_B4-02.png"
"s4","4","B4-03","20","50","10","背景融合痕跡","看看教室的桌子、椅子、地板的交界處，是不是有「融化」、「模糊」的感覺？\nAI 在處理多個物體的邊界時容易出錯，讓物品看起來像被「P」上去的。\n💡 記住：真實照片的物體邊界清晰銳利！","assets/images/scenarios/s4/zoom_B4-03.png"
"s5","4","B5-01","50","45","10","禮物盒太完美了","仔細看這個禮物盒，是不是覺得「太完美」、「太閃亮」？\n真實照片中的物品會有自然的瑕疵、合理的陰影、正確的反光方向。\nAI 生成的物品常常「太理想化」，反而顯得虛假！\n💡 記住：太完美的東西要懷疑！","assets/images/scenarios/s5/zoom_B5-01.png"
"s5","4","B5-02","50","30","8","iPhone 螢幕怪怪的","看看 iPhone 螢幕上的內容：App 圖示是不是變形了？文字是不是看不清楚？螢幕邊界是不是模糊？\nAI 很難精確繪製手機螢幕的細節，尤其是小圖示和文字。\n💡 記住：螢幕細節是 AI 圖的弱點！","assets/images/scenarios/s5/zoom_B5-02.png"
"s5","4","B5-03","50","80","12","物體像漂在空中","看看禮物盒和 iPhone 的底部，它們和背景的接觸點看起來如何？\n真實照片中，物體會有自然的陰影、與表面的接觸感、清晰的邊緣。\nAI 圖常常讓物品看起來「漂浮」，或邊緣模糊融化。\n💡 記住：注意物體與背景的關係！","assets/images/scenarios/s5/zoom_B5-03.png"
