"key","value","context"
"app_title","AI 真相大搜查","瀏覽器分頁標題"
"app_subtitle","校園主播危機","開始頁副標題"
"player_name_label","你的名字","姓名輸入框 label"
"player_name_placeholder","請輸入你的名字","姓名輸入框 placeholder"
"player_name_empty_error","請先輸入你的名字喔！","姓名為空時的提示"
"start_button","開始遊戲","開始頁主按鈕"
"next_button","下一步","通用下一步"
"back_button","回上一步","通用返回"
"begin_challenge_button","開始挑戰！","說明頁最後一步按鈕"
"replay_button","再玩一次","結算頁按鈕"
"restart_button","重新挑戰","證書頁按鈕"
"download_certificate_button","下載證書","證書頁"
"mute_button","靜音","音效控制"
"unmute_button","開啟音效","音效控制"
"loading_text","吱吱正在準備調查工具...","載入畫面"
"pass_true_button","✅ 通過","第一關-真訊息按鈕"
"pass_fake_button","⛔ 停！","第一關-假訊息按鈕"
"level1_progress_label","已找到假訊息","第一關進度標籤"
"level1_correct_true","對啦！這則是真的！","真訊息答對提示"
"level1_correct_fake","抓到啦！這則是假的！","假訊息答對提示"
"level1_wrong_true","別緊張～這則其實是真的喔！","真訊息答錯提示"
"level1_wrong_fake","這則其實有問題！要記得它的特徵唷！","假訊息漏抓提示"
"level1_timeout","時間到！下次再快一點～","5 秒倒數結束未作答"
"level1_pass_title","第一關結束！","過關標題"
"level1_pass_desc","你完成了「停」的訓練！","過關說明"
"level2_progress_label","已找到破綻","第二關進度標籤"
"level2_hint_button","需要提示","第二關提示按鈕"
"level2_hint_used","提示已用過囉～","提示已使用提示"
"level2_timer_label","剩餘時間","計時器標籤"
"level2_timeout","時間到！吱吱來幫你看看～","第二關超時"
"level2_wrong_click","再找找看！","點錯位置提示"
"level2_pass_title","第二關結束！","過關標題"
"level2_pass_desc","你完成了「查」的訓練！","過關說明"
"level3_question_label","根據破綻，應該問誰最能確認真假？","第三關問題標題"
"level3_wrong_choice","嗯…這個答案好像不夠好。再想想，誰最能確認？","第三關選錯提示"
"level3_pass_title","第三關結束！","過關標題"
"level3_pass_desc","你完成了「問」的訓練！","過關說明"
"trophy_label","獎盃","通用獎盃文字"
"result_title","調查完成！","結算頁標題"
"result_summary_label","你的調查紀錄","結算頁副標題"
"result_continue_button","前往證書","結算頁前往證書"
"certificate_title","AI 真相偵探證書","證書頁標題"
"certificate_name_label","持有人","證書姓名標籤"
"certificate_date_label","頒發日期","證書日期標籤"
"certificate_0star","見習探員","零星稱號"
"certificate_1star","一星探員","一星稱號"
"certificate_2star","二星偵探","二星稱號"
"certificate_3star","三星偵探（最高榮譽）","三星稱號"
"certificate_complete_message","你已成為 AI 真相偵探！","證書完成訊息"
"certificate_message_more","總共有 3 個情境可以練習喔！","證書頁底部訊息（還有未玩情境時）"
"certificate_message_all","🎉 太棒了！你已挑戰完三個情境！","證書頁底部訊息（三情境全完成）"
"certificate_scenario_label","調查任務","證書畫布上的情境標籤"
"certificate_message_1star","繼續挑戰下一個情境，可以升星喔！","（舊版保留，目前未用）"
"certificate_message_2star","再完成一個情境，就能拿到最高榮譽！","（舊版保留，目前未用）"
"certificate_message_3star","🎉 太棒了！你已成為 AI 真相偵探的最高榮譽！","（舊版保留，目前未用）"
"result_step1_title","第一關　停","結算頁步驟標題"
"result_step2_title","第二關　查","結算頁步驟標題"
"result_step3_title","第三關　問","結算頁步驟標題"
"result_step1_caught","你抓到","結算頁第一關前綴"
"result_step2_found","你找到","結算頁第二關前綴"
"result_step2_empty","這次沒找到破綻，沒關係下次再來！","結算頁第二關空白訊息"
"result_step3_asked","你問對了人","結算頁第三關前綴"
"result_step3_revealed","揭穿了真相！","結算頁第三關後綴"
"download_filename_prefix","AI真相偵探證書","下載證書檔名前綴"
"download_starting","正在準備證書圖片…","下載開始提示"
"download_success","證書已下載！","下載成功提示"
"download_failed","下載失敗，請重試","下載失敗提示"
"error_image_failed","圖片載入中…","圖片載入失敗替代文字"
"error_audio_failed","（音效暫時無法播放）","音效錯誤提示"
"error_generic","糟糕，出了點小問題，請重新整理頁面試試！","通用錯誤"
"branch_s1_3_label","快訊停課三天圖","???????"
"branch_s1_3_hint","這張圖要特別核對官方新聞識別、大標題及內容確認與時間戳記。","???????"
"branch_s1_4_label","校長公告停課圖","???????"
"branch_s1_4_hint","這張圖要特別核對來源頭像、公告版型與日期時間是否一致。","???????"
"branch_s2_2_label","企業捐平板圖","???????"
"branch_s2_2_hint","這張圖要特別檢查 LOGO、手部細節與背景融合痕跡。","???????"
"branch_s2_4_label","愛心大使填表圖","???????"
"branch_s2_4_hint","這張圖要特別檢查是否過度索取個資、主辦單位是否明確、是否有隱私權說明。","???????"
"branch_s3_2_label","免費 iPhone 17 領取圖","???????"
"branch_s3_2_hint","這張圖要特別檢查廣告真實性、主辦單位與活動方式。","???????"
"branch_s3_4_label","清倉3折跳水價","???????"
"branch_s3_4_hint","這張圖要特別檢查話術誘導、過度便宜與店家資訊缺漏。","???????"
